unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
MENA,MAR,Morocco,PCV3,2020,94,PCV,3268.030273,5.78939486,36584208,3260,0,1.748697530169071,1,43.40781021,0.7590713050427479
ESAR,NAM,Namibia,PCV3,2020,78,PCV,3878.58983,9.56060219,2728762,4240,0,3.706948585892239,1,6.96856642,0.2583211743631514
Non-programme,NLD,Netherlands (Kingdom of the),PCV3,2020,93,PCV,53467.92774,10.94954681,17441500,51490,0,1.0020942107344395,1,9.27974606,0.092991798
Non-programme,NZL,New Zealand,PCV3,2020,92,PCV,41997.78303,9.25240231,5072400,41850,0,0.7459302352315851,1,14.19285393,0.10586878870612428
WCAR,NGA,Nigeria,PCV3,2020,60,PCV,2797.184581,3.38063431,213996181,2460,0,7.6374550824730445,1,74.67578125,5.703329250454577
ECAR,MKD,North Macedonia,PCV3,2020,30,PCV,6659.596511,7.73212385,1856124,6460,0,2.7015864512832617,1,38.87190628,1.0501581534160074
Non-programme,NOR,Norway,PCV3,2020,96,PCV,68340.0181,11.42416382,5379475,78610,0,0.40411389256736896,1,13.78762722,0.055717717
MENA,OMN,Oman,PCV3,2020,99,PCV,16784.86306,5.11922932,4522497,17190,0,2.5195195195195197,1,5.20750856,0.13120419464984986
EAPR,PLW,Palau,PCV3,2020,75,PCV,14708.21195,13.31541061,17792,15360,0,5.287822878228782,1,16.09178543,0.8509051114830259
LACR,PAN,Panama,PCV3,2020,74,PCV,13290.56084,10.21630001,4293261,13070,0,3.584166503,1,39.5986557,1.419281753423814
LACR,PRY,Paraguay,PCV3,2020,82,PCV,5365.472207,7.67533064,6603739,5550,0,5.742141281589007,1,37.87582779,2.1748835432731517
LACR,PER,Peru,PCV3,2020,74,PCV,6133.325524,6.34739399,32838579,6080,0,1.9638398002441793,1,22.49866867,0.44183780986652776
Non-programme,POL,Poland,PCV3,2020,88,PCV,16150.93048,6.42739105,37515748,15640,0,1.1700902346512216,1,19.53498077,0.22857690233076405
Non-programme,PRT,Portugal,PCV3,2020,98,PCV,22299.40441,10.52074051,10297081,21910,0,0.7831597972023087,1,28.01858902,0.21943032494798032
MENA,QAT,Qatar,PCV3,2020,98,PCV,51683.56811,3.81872201,2794148,57730,0,3.2440711091739014,1,5.89859581,0.19135464251915227
Non-programme,KOR,Republic of Korea,PCV3,2020,97,PCV,33645.77195,8.02722836,51836239,35000,0,2.645636000154941,1,31.79624748,0.8412129700292382
ECAR,MDA,Republic of Moldova,PCV3,2020,72,PCV,4375.778893,7.00484037,2635130,4360,0,3.2498532542372884,1,30.92627144,1.005058438807097
ECAR,ROU,Romania,PCV3,2020,85,PCV,13009.17706,6.20959711,19265250,12720,0,0.5810155096985583,1,19.02618599,0.11054509150599419
